,Level,Kills,Deaths,Assists,CS,CS in Team's Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,Result Score
Morgan,14,0,5,4,226,8,7.8,9399,326,19.5,35,8,14,4,3,1.22,0.28,0.14,0.49,13.7,11557,8154,2589,814,401,23.4,0.14,80.0,0,0,0,0,0,-30,-3,-188,0,0,0,0,6199,0,21652,0,9,18,23737,129,7,20,0
UmTi,13,3,3,2,170,147,5.9,9921,344,20.6,47,21,13,10,10,1.63,0.73,0.35,0.45,18.4,8062,6268,1450,344,280,16.3,0.17,100.0,0,0,0,0,0,687,13,18,0,0,0,0,13017,0,31606,341,9,462,24964,77,11,27,0
Karis,15,0,2,3,255,8,8.9,10774,374,22.3,33,11,11,7,7,1.15,0.38,0.24,0.38,12.9,11233,485,10233,515,390,22.7,0.1,60.0,0,0,0,0,0,528,12,480,0,0,3140,3140,2140,0,15323,0,18,421,16062,46,10,27,0
Hena,15,2,2,2,320,24,11.1,12080,419,25.0,39,12,17,3,3,1.35,0.42,0.1,0.59,15.2,15338,10331,4929,78,533,31.0,0.14,80.0,0,0,0,0,0,-55,3,-229,-1,0,3000,3000,2791,0,15167,0,4,186,11230,33,4,24,0
Effort,11,0,1,4,46,0,1.6,6089,211,12.6,102,50,23,15,15,3.54,1.74,0.52,0.8,39.8,3295,491,2804,0,114,6.7,0.14,80.0,0,0,0,0,0,-89,11,211,0,0,0,0,1535,670,3627,2783,19,171,6781,28,17,36,0
Morgan,18,3,5,2,295,12,8.3,13635,385,23.6,53,12,14,8,8,1.5,0.34,0.23,0.39,15.6,13225,11594,1631,0,373,25.3,0.14,100.0,1,0,0,0,0,-174,-12,-249,0,0,2915,2915,12643,0,38846,0,18,41,38334,162,9,28,0
UmTi,16,1,2,2,211,175,6,11296,319,19.6,75,12,24,10,10,2.12,0.34,0.28,0.68,22.1,6104,5304,206,594,172,11.7,0.08,60.0,0,0,0,0,0,-81,3,395,0,0,229,229,20688,0,26820,0,6,132,34481,91,11,32,0
Karis,18,0,2,4,312,0,8.8,12294,347,21.3,32,10,9,5,5,0.9,0.28,0.14,0.25,9.4,10971,490,10481,0,309,21.0,0.11,80.0,0,0,0,0,0,95,9,-119,0,0,388,388,4112,322,13905,0,18,50,15751,45,8,26,0
Hena,15,1,4,3,302,14,8.5,12789,361,22.1,43,16,14,5,5,1.21,0.45,0.14,0.39,12.6,16291,12068,3683,540,460,31.1,0.11,80.0,0,0,0,0,0,157,-4,-291,-1,0,1558,1558,2834,995,16816,0,22,263,11601,124,8,28,0
Effort,13,0,3,3,25,0,0.7,7732,218,13.4,137,68,17,21,19,3.86,1.92,0.59,0.48,40.3,5724,188,4984,552,161,10.9,0.08,60.0,0,0,0,0,0,-16,-22,-362,-1,0,715,715,33,0,6647,4227,18,176,7519,99,23,38,0
