,Level,Kills,Deaths,Assists,CS,CS in Team's Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,Result Score
kingen,16,1,2,2,263,3,7.8,11027,327,19.5,29,16,4,10,9,0.86,0.48,0.3,0.12,9.4,10219,2483,7736,0,303,21.3,0.09,37.5,0,0,0,0,0,40,3,17,0,0,2190,2190,3012,0,30626,0,30,363,25400,41,11,34,0
Clid,14,0,4,5,197,176,5.8,9830,292,17.4,55,14,12,14,12,1.63,0.42,0.42,0.36,17.9,5566,5120,0,446,165,11.6,0.15,62.5,0,0,0,0,0,-873,-6,-244,0,0,0,0,10742,0,32858,0,14,289,26743,128,15,35,0
Zeka,17,3,4,3,333,6,9.9,13103,389,23.2,51,18,11,5,5,1.51,0.53,0.15,0.33,16.6,11887,1392,7610,2885,353,24.8,0.18,75.0,0,1,0,0,0,-317,-2,360,0,0,1170,1170,2567,0,7949,0,15,70,13449,90,7,26,0
Viper,17,3,3,3,372,28,11,14943,444,26.4,48,16,25,7,7,1.43,0.48,0.21,0.74,15.6,17804,12997,4536,271,529,37.1,0.18,75.0,0,0,0,0,0,846,20,274,0,0,2235,2235,1489,0,15200,0,6,236,10411,51,9,30,0
Life,12,1,2,7,39,0,1.2,7632,227,13.5,125,71,17,20,18,3.71,2.11,0.59,0.5,40.6,2496,391,2105,0,74,5.2,0.24,100.0,0,0,0,0,0,488,0,-93,0,0,238,238,2427,1009,4535,658,13,65,7742,42,22,35,0
kingen,18,5,3,12,338,21,8.1,17630,425,21.5,52,15,16,14,12,1.25,0.36,0.34,0.39,12.1,16916,11302,4409,1205,408,16.5,0.41,89.5,2,1,0,0,0,-68,-12,36,0,0,1807,1807,10995,0,60958,524,27,687,37690,95,16,34,1
Clid,17,1,3,10,191,168,4.6,12869,310,15.7,61,14,11,15,12,1.47,0.34,0.36,0.27,14.2,11620,580,10659,381,280,11.4,0.27,57.9,0,0,0,0,0,243,8,243,0,1,97,97,23638,2229,42656,0,69,638,35491,88,16,38,1
Zeka,18,4,4,7,413,37,10,18864,455,23.0,60,7,18,6,5,1.45,0.17,0.14,0.43,14.0,17662,13271,2184,2207,426,17.3,0.27,57.9,0,0,0,0,0,-47,-9,-460,0,0,8022,8022,2666,0,30349,0,6,53,16460,186,8,31,1
Viper,18,8,0,6,473,68,11.4,21847,526,26.6,87,21,33,8,8,2.1,0.51,0.19,0.8,20.2,49662,33631,15559,472,1197,48.6,0.34,73.7,1,1,1,0,0,-123,-6,-464,0,0,10954,10954,7794,0,31502,0,18,295,12230,0,11,30,1
Life,15,1,1,10,54,0,1.3,10773,260,13.1,170,110,23,14,21,4.1,2.65,0.34,0.55,39.5,6426,928,3896,1602,155,6.3,0.27,57.9,0,0,0,0,0,216,3,-76,-1,0,578,578,2356,321,10636,5302,20,222,11319,28,27,42,1
kingen,17,0,1,0,235,0,7.3,9539,298,19.9,31,15,7,10,10,0.97,0.47,0.31,0.22,11.4,10736,574,10162,0,335,29.7,0,0.0,0,0,0,0,0,-148,-10,113,0,0,0,0,17871,0,20633,0,24,430,27175,56,12,25,0
Clid,13,0,1,0,159,135,5,8787,274,18.3,47,13,10,14,11,1.47,0.41,0.44,0.31,17.2,6325,347,5663,315,197,17.5,0,0.0,0,0,0,0,0,-221,-14,-449,0,0,0,0,16411,963,24804,0,38,520,27735,0,14,31,0
Zeka,15,0,3,0,262,11,8.2,9963,311,20.8,34,18,3,7,7,1.06,0.56,0.22,0.09,12.5,5462,3159,1344,959,171,15.1,0,0.0,0,0,0,0,0,-1041,-24,-909,-1,0,0,0,3328,0,20591,0,6,145,16702,73,8,26,0
Viper,16,0,1,0,397,38,12.4,13305,415,27.7,53,11,28,4,4,1.65,0.34,0.12,0.87,19.4,12165,7707,3474,984,380,33.6,0,0.0,0,0,0,0,0,-706,1,-643,0,0,611,611,4240,0,19599,0,9,258,12368,0,5,20,0
Life,12,0,1,0,40,0,1.2,6397,200,13.3,108,58,18,18,16,3.37,1.81,0.56,0.56,39.6,1464,80,1384,0,46,4.0,0,0.0,0,0,0,0,0,-27,4,683,1,0,85,85,755,657,1797,984,8,20,3176,42,20,34,0
