name	season	region	games	winrate	kd	gpm	gdm	duration	kills/game	deaths/game	towerskilled	towerslost	fb%	ft%	drapg	dra%	herpg	her%	dra@15	td@15	gd@15	ppg	nashpg	nash%	csm	dpm	wpm	vwpm	wcpm	
T1	S12	KR	18	72.20	1.38	1933	233	31:55:00	16.2	11.6	8.4	3.7	38.9	61.1	2.44	58.8	0.94	47.2	0.94	0.4	1030	5.44	1.17	77.8	31.6	2481	3.5	1.5	1.31	
T1	S12	KR	8	37.50	0.72	1721	-115	32:56:00	8.9	12.4	4.9	6.5	87.5	0	1.38	29.6	0.75	37.5	0.25	-0.6	-1332	3	0.88	54.8	32.2	1733	3.3	1.28	1.88	
T1	S12	KR	44	70.50	1.19	1884	158	32:11:00	12.4	10.4	7.4	4.2	47.7	70.5	2.39	52.9	1.25	62.5	0.77	0.4	982	5.55	0.95	66.3	33.5	2078	3.5	1.38	1.59	
T1	S12	KR	24	75.00	1.43	2007	315	27:21:00	15.5	10.8	8.1	3.2	54.2	87.5	1.92	59.3	1.5	75	0.46	1.1	3264	8.79	0.67	69	33.7	2000	3.6	1.32	1.41	
T1	S12	KR	7	85.70	1.94	1961	343	29:57:00	17.1	8.9	8.4	2.4	71.4	85.7	2	50.5	1.86	92.9	0.43	1	3641	7.86	0.71	66.7	34.1	2120	3.9	1.54	1.63	
T1	S12	KR	43	83.70	1.52	1935	261	33:34:00	16	10.5	8.7	3.9	60.5	83.7	2.58	58.6	1.4	70.9	0.7	0.6	1896	6.98	1.05	76.7	33.4	2137	3.6	1.39	1.62	
NS	S12	KR	45	35.60	0.79	1730	-103	34:55:00	10.4	13.2	5.5	7.3	55.6	48.9	2.09	41.7	0.84	42.2	0.69	0.1	11	4.76	0.53	36.7	33	1703	3.6	1.65	1.57	
NS	S12	KR	42	33.30	0.87	1722	-124	33:19:00	11	12.7	4.8	7.2	50	54.8	2.43	48.9	1.12	56	1.05	-0.1	-299	4.12	0.43	26.7	31.8	1968	3.5	1.55	1.62	
SB	S12	KR	9	33.30	0.64	1652	-182	32:47:00	8.4	13.1	4	6.9	44.4	33.3	1.89	40	0.89	44.4	0.78	0.1	-767	3	0.56	38.9	30.9	1722	3.6	1.24	1.7	
SB	S12	KR	8	50.00	0.86	1744	-113	33:33:00	13	15.1	5.6	6.4	62.5	12.5	2.25	48.8	0.38	18.8	1	-0.3	-1088	3.13	1.13	62.5	31.2	2142	3.5	1.31	1.63	
